user_id,username,password,email,date_last_collection,streak
c9360e87-3186-4c30-8fc7-2ce1e60819ed,SurvivableExhaustion,XXFAN,salomo@aol.com,,
568af656-2762-499e-80a1-a1bc5e7b7a24,ImposingPlum,AW9NM,micheal@gmail.com,,
75949266-12d1-415a-bdaf-456ea9b92536,Well-meaningWitch,HS3Y2,eduard@gmail.com,,
fbe6ee4e-d4e2-42e2-a033-a1c465bc8b9e,ChillingWombat,6SD98,garfinkel@aol.com,,
3fb8ecd2-09f4-46b2-89bb-d7c31670b04c,EcologicalPerennial,LWFZB,judy@icloud.com,,
285fab47-3479-4fb0-9ced-700eefcdc02d,ConversationalJourney,VYQVT,jacquie@gmail.com,,
09d73ced-8aa4-4e6e-80b9-80732a6f7258,GiganticVanity,XMNYY,garvin@outlook.com,,
15962eb4-e666-4481-8222-6c588d4aee40,IncorrigibleGuarantee,NS3SB,noellyn@aol.com,,
2705a621-89e5-4648-83f8-7f3397738e16,BeckoningPackaging,AYBHV,maible@icloud.com,,
6c16c7e1-ce96-4ecf-b92e-82cf59ec1ee8,IgnorantCouple,CJPRV,liliane@gmail.com,,
d4175031-87d9-489d-98e1-382a97cb9f19,UnchangeableMelon,NMQZ4,peirce@yahoo.com,,
48087ea6-df1b-44dc-bd07-7594c73e691c,StrikingPillow,NG06A,ronen@outlook.com,,
c68b2bbb-41c8-4ade-bf73-e4edb2bcc2b5,ForwardDynamics,2SIEM,elisabet@icloud.com,,
04ef2879-d731-4f9e-ae92-6943af393e7d,ExpendableAngel,75YKE,melina@icloud.com,,
2d6a90be-467f-4a78-9728-8d82d1e4a68b,TriumphantMonster,RMYQ0,caresa@outlook.com,,
53da8491-400d-4e96-b3a4-d57510a6fea1,BraveFarm,L5XQ2,lonee@outlook.com,,
f72d77e7-d98b-400c-8c50-c460575c696b,UndesirableEnclave,BAAUJ,hebert@yahoo.com,,
f2fc95e1-8fae-445f-a009-d2c81e49c177,GrowlingLook,QCUZ7,renaud@gmail.com,,
70777970-ba38-4d2b-95ea-211e000ad398,SculpturalLivestock,V62UM,ailey@aol.com,,
fc48cbdb-ba48-4dd0-bbdf-fcacb5d341cc,VibratingConductor,AZ626,steffi@aol.com,,
6d373a72-4f3f-4090-a19e-1e1844d1b94f,UnlovedDaybed,2NDML,tine@icloud.com,,
90410f40-7b40-40ee-91e9-3519f1f03aee,ThriftlessRevolution,WHVYU,dave@aol.com,,
7ad8d909-a378-4b48-ba89-e3504a8044b7,PleasantGoal,CLYZL,kostas@aol.com,,
